taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,noteType,main_common_name
3,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta angaurana,"Solem, 1976",,,,CR,
4,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta constricta,"(Semper, 1874)",,,,EN,
5,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta fuscozonata,"(Beddome, 1889)",,,,EN,
6,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta irregularis,"Semper, 1874",,,,CR,
7,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta kinlochi,"Solem, 1976",,,,CR,
8,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta pelewana,"Solem, 1976",,,,CR,
9,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Aaptosyax,Aaptosyax grypus,"Rainboth, 1991",,,,CR,Mekong Giant Salmon Carp
18,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,Abrocoma boliviensis,"Glanz &amp; Anderson, 1990",,,,CR,Bolivian Chinchilla Rat
20,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,Abronia montecristoi,"Hidalgo, 1983",,,,EN,Monte Cristo Arboreal Alligator Lizard
43,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,Acanthaeschna,Acanthaeschna victoria,"Martin, 1901",,,,EN,Thylacine Darner
59,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VALLONIIDAE,Acanthinula,Acanthinula spinifera,"Mousson, 1872",,,,DD,
73,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Mirogrex,Mirogrex hulensis,"Goren, Fishelson &amp; Trewavas, 1973",,,,EX,Hula Bream
75,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,Acanthochelys pallidipectoris,"(Freiberg, 1945)",,,,EN,Chaco Side-necked Turtle
76,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,Acanthochelys spixii,"(Duméril &amp; Bibron, 1835)",,,,LR/nt,Black Spiny-necked Swamp Turtle
78,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,Acanthochelys radiolata,"(Mikan, 1820)",,,,LR/nt,Brazilian Radiolated Swamp Turtle
79,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,NEMACHEILIDAE,Paracanthocobitis,Paracanthocobitis urophthalma,"(Günther, 1868)",,,,EN,Tiger Loach
80,ANIMALIA,ARTHROPODA,MAXILLOPODA,CYCLOPOIDA,CYCLOPIDAE,Acanthocyclops,Acanthocyclops hypogeus,"(Kiefer, 1930)",,,,VU,
81,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Salmo,Salmo ohridanus,"Steindachner, 1892",,,,VU,
82,ANIMALIA,ARTHROPODA,INSECTA,EPHEMEROPTERA,ACANTHAMETROPODIDAE,Acanthametropus,Acanthametropus pecatonica,"(Burks, 1953) ",,,,EX,Pecatonica River Mayfly
83,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,Acanthomyops latipes,"(Walsh, 1863)",,,,VU,
137,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon celebensis,"Peters, 1867",,,,VU,Sulawesi Fruit Bat
138,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon humilis,"K. Andersen, 1909",,,,EN,Talaud Fruit Bat
139,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon jubatus,"(Eschscholtz, 1831)",,,,EN,Golden-capped Fruit Bat
140,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon leucotis,"(Sanborn, 1950)",,,,VU,Palawan Fruit Bat
142,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon mackloti,"(Temminck, 1837)",,,,VU,Sunda Fruit Bat
161,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,XENODERMIDAE,Achalinus,Achalinus werneri,"Van Denburgh, 1912",,,,NT,Amami Takachiho Snake
166,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINIDAE,Achatina,Achatina vignoniana,"Morelet , 1874",,,,DD,
167,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella abbreviata,"Reeve, 1850",,,,EX,
168,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella apexfulva,"(Dixon, 1789)",,,,CR,Oahu Treesnail
169,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella bellula,"Smith, 1873",,,,CR,
170,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella buddii,"Newcomb, 1853",,,,EX,
171,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella bulimoides,"Swainson, 1828",,,,CR,
172,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella byronii,"(Wood, 1828)",,,,CR,
173,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella caesia,"Gulick, 1858",,,,EX,
174,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella casta,"Newcomb, 1853",,,,EX,
175,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella cestus,"Newcomb, 1853",,,,CR,
176,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella concavospira,"Pfeiffer, 1859",,,,CR,
177,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella curta,"Newcomb, 1853",,,,CR,
178,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella decipiens,"Newcomb, 1854",,,,CR,
179,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella decora,"(Férussac, 1821)",,,,EX,
180,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella dimorpha,"Gulick, 1858",,,,EX,
181,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella elegans,"Newcomb, 1853",,,,EX,
182,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella fulgens,"Newcomb, 1853",,,,CR,
183,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella fuscobasis,"(Smith, 1873)",,,,CR,
184,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella juddii,"Baldwin, 1895",,,,EX,
185,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella juncea,"Gulick, 1856",,,,EX,
186,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella lehuiensis,"Smith, 1873",,,,EX,
188,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella lila,"Pilsbry, 1914",,,,CR,
189,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella livida,"Swainson, 1828",,,,EX,
190,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella lorata,"(Férussac, 1824)",,,,CR,
191,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella mustelina,"Mighels, 1845",,,,CR,
192,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella papyracea,"Gulick, 1856",,,,EX,
193,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella phaeozona,"Gulick, 1856",,,,CR,
194,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella pulcherrima,"Swainson, 1828",,,,CR,
195,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella pupukanioe,"Pilsbry &amp; Cooke, 1914",,,,CR,
197,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella sowerbyana,"Pfeiffer, 1855",,,,CR,
198,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella spaldingi,"Pilsbry &amp; Cooke, 1914",,,,EX,
199,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella stewartii,"Green, 1827",,,,CR,
200,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella swiftii,"Newcomb, 1853",,,,CR,
201,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella taeniolata,"Pfeiffer, 1846",,,,CR,
202,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella thaanumi,"Pilsbry &amp; Cooke, 1914",,,,EX,
203,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella turgida,"Newcomb, 1853",,,,CR,
204,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella valida,"Pfeiffer, 1855",,,,EX,
205,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella viridans,"Mighels, 1845",,,,CR,
207,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella vulpina,"(Férussac, 1824)",,,,CR,
209,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella leucorrhaphe,"(Gulick, 1873)",,,,CR,
210,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella bulimoides ssp. rosea,"Swainson, 1833",ssp.,rosea,,EX,
211,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,Achatinella apexfulva ssp. vittata,"Reeve, 1850",ssp.,vittata,,EX,
212,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Acheilognathus,Acheilognathus elongatus,"(Regan, 1908)",,,,CR,Elongate Bitterling
213,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Acheilognathus,Acheilognathus longipinnis,"Regan, 1905",,,,EN,Deepbodied Bitterling
214,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Aciagrion,Aciagrion rarum,"(Longfield, 1947)",,,,DD,Tiny Slim
215,ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,ACICULIDAE,Acicula,Acicula norrisi,"E. Gittenberger &amp; Boeters, 1977",,,,VU,
216,ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,ACICULIDAE,Acicula,Acicula palaestinensis,"Forcart, 1981",,,,VU,
217,ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,ACICULIDAE,Acicula,Acicula hausdorfi,"Boeters, Gittenberger &amp; Subai, 1989",,,,NT,
218,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,Acilius,Acilius duvergeri,"Dettner, 1982",,,,VU,
219,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Acinonyx,Acinonyx jubatus,"(Schreber, 1775)",,,,VU,Cheetah
220,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Acinonyx,Acinonyx jubatus ssp. venaticus,"(Griffith, 1821)",ssp.,venaticus,,CR,Asiatic Cheetah
221,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Acinonyx,Acinonyx jubatus ssp. hecki,"Hilzheimer, 1913",ssp.,hecki,,CR,Northwest African Cheetah
222,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser brevirostrum,"Lesueur, 1818",,,,VU,Shortnose Sturgeon
223,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser fulvescens,"Rafinesque, 1817",,,,LC,Lake Sturgeon
224,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser naccarii,"Bonaparte, 1836",,,,CR,Adriatic sturgeon
225,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser nudiventris,"Lovetsky, 1828",,,,CR,Ship sturgeon
227,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser ruthenus,"Linnaeus, 1758",,,,VU,Sterlet
228,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser schrenckii,"Brandt, 1869",,,,CR,Amur Sturgeon
229,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser stellatus,"Pallas, 1771",,,,CR,Stellate sturgeon
230,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser sturio,"Linnaeus, 1758",,,,CR,Atlantic sturgeon
231,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser dabryanus,"Duméril, 1869",,,,CR,Yangtze Sturgeon
232,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser gueldenstaedtii,"Brandt &amp; Ratzeburg, 1833",,,,CR,Russian sturgeon
233,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser medirostris,"Ayres, 1854",,,,NT,Green Sturgeon
234,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser transmontanus,"Richardson, 1836",,,,LC,White Sturgeon
235,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser persicus,"Borodin, 1897",,,,CR,Persian Sturgeon
236,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser sinensis,"Gray, 1835",,,,CR,Chinese Sturgeon
241,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser mikadoi,"Hilgendorf, 1892",,,,CR,Sakhalin Sturgeon
242,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser oxyrinchus ssp. desotoi,"Vladykov, 1955",ssp.,desotoi,,VU,Gulf Sturgeon
243,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser oxyrinchus ssp. oxyrinchus,"Mitchill, 1815",ssp.,oxyrinchus,,NT,Atlantic Sturgeon
244,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser baerii,"Brandt, 1869",,,,EN,Siberian Sturgeon
245,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser oxyrinchus,"Mitchill, 1815",,,,NT,Gulf Sturgeon
251,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser nudiventris,"Lovetzky, 1828",,,Aral Sea,EX,Ship Sturgeon
257,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenser transmontanus,"Richardson, 1836",,,Kootenai River subpopulation,EN,White Sturgeon
263,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys cahirinus,"(É. Geoffroy, 1803)",,,,LC,Cairo Spiny Mouse
264,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys cilicicus,"Spitzenberger, 1978",,,,DD,Asia Minor Spiny Mouse
265,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys cineraceus,"Heuglin, 1877",,,,LC,Gray Spiny Mouse
266,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys ignitus,"Dollman, 1910",,,,LC,Fiery Spiny Mouse
267,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys kempi,"Dollman, 1911",,,,LC,Kemp's Spiny Mouse
268,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys louisae,"Thomas, 1896",,,,LC,Louise's Spiny Mouse
269,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys minous,"Bate, 1906",,,,DD,Crete Spiny Mouse
270,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys mullah,"Thomas, 1904",,,,LC,Mullah Spiny Mouse
271,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys nesiotes,"Bate, 1903",,,,DD,Cyprus Spiny Mouse
272,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys percivali,"Dollman, 1911",,,,LC,Percival's Spiny Mouse
273,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys russatus,"(Wagner, 1840)",,,,LC,Golden Spiny Mouse
275,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys subspinosus,"(Waterhouse, 1838)",,,,LC,Cape Spiny Mouse
276,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys wilsoni,"Thomas, 1892",,,,LC,Wilson's Spiny Mouse
278,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,OCTODONTIDAE,Aconaemys,Aconaemys fuscus,"(Waterhouse, 1842)",,,,LC,Chilean Rock Rat
279,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,OCTODONTIDAE,Aconaemys,Aconaemys sagei,"Pearson, 1984",,,,DD,Sage's Rock Rat
282,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,BOIDAE,Acrantophis,Acrantophis dumerili,"Jan, 1860",,,,LC,Dumeril's Boa
283,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,BOIDAE,Acrantophis,Acrantophis madagascariensis,"(Duméril &amp; Bibron, 1844)",,,,LC,Malagasy Ground Boa
313,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Acrodipsas,Acrodipsas illidgei,"(Waterhouse &amp; Lyell, 1914)",,,,EN,Illidge's Ant-blue
314,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Acrolophitus,Acrolophitus pulchellus,"(Bruner, 1890)",,,,VU,Idaho Point-headed Grasshopper
315,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,ACROLOXIDAE,Acroloxus,Acroloxus coloradensis,"J. Henderson, 1930",,,,NT,Rocky Mountain Capshell
499,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Actinella,Actinella actinophora,"(R.T. Lowe, 1831)",,,,VU,
500,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Actinella,Actinella anaglyptica,"(Reeve, 1852)",,,,NT,
501,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Actinella,Actinella armitageana,"(Lowe, 1852)",,,,VU,
502,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Actinella,Actinella carinofausta,"Waldén, 1983",,,,EN,
503,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Domunculifex,Domunculifex littorinella,"(J. Mabille, 1883)",,,,VU,
504,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Actinella,Actinella fausta,"(Lowe, 1831)",,,,LC,
505,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Actinella,Actinella giramica,"(R.T. Lowe, 1852)",,,,VU,
506,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Actinella,Actinella laciniosa,"(R.T. Lowe, 1852)",,,,VU,
507,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Actinella,Actinella obserata,"(R.T. Lowe, 1852)",,,,CR,
508,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Actinella,Actinella robusta,"(Wollaston, 1878)",,,,DD,
511,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Actinonaias,Actinonaias pectorosa,"Conrad, 1834",,,,LR/nt,
512,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Addax,Addax nasomaculatus,"(de Blainville, 1816)",,,,CR,Addax
513,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,LYCOSIDAE,Adelocosa,Adelocosa anops,"Gertsch, 1973",,,,EN,No-eyed Big-eyed Wolf Spider
515,ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,CYCLOPHORIDAE,Adelopoma,Adelopoma stolli,"Martens, 1890",,,,EN,
520,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LIMNODYNASTIDAE,Adelotus,Adelotus brevis,"(Günther, 1863)",,,,NT,Tusked Frog
521,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPSADIDAE,Adelphicos,Adelphicos daryi,"Campbell &amp; Ford, 1982",,,,EN,Dary's Burrowing Snake
522,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Adetomyrma,Adetomyrma venatrix,"Ward, 1994",,,,CR,
523,ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,ADRIANICHTHYIDAE,Adrianichthys,Adrianichthys kruyti,"Weber, 1913",,,,CR,Duck-billed Buntingi
524,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICARIONIDAE,Advena,Advena campbelli,"Gray, 1834",,,,EX,
525,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICARIONIDAE,Advena,Advena charon,"Preston, 1913",,,,EN,
526,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Aegialia,Aegialia concinna,"Gordon &amp; Cartwright, 1977",,,,VU,Ciervo Scarab Beetle
527,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Aegialia,Aegialia crescenta,"Gordon &amp; Cartwright, 1977",,,,VU,Cresent Dune Scarab Beetle
530,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,BRADYBAENIDAE,Aegista,Aegista inexpectata,"Kuroda &amp; Minato, 1977",,,,DD,
531,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,BRADYBAENIDAE,Aegista,Aegista intonsa,"Pilsbry &amp; Hirase, 1902",,,,DD,
547,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Handleyomys,Handleyomys fuscatus,"(J.A. Allen, 1912)",,,,LC,Dusky Montane Mouse
548,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Aepeomys,Aepeomys lugens,"(Thomas, 1896)",,,,LC,Olive Montane Mouse
549,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Aepyceros,Aepyceros melampus ssp. petersi,"Bocage, 1879",ssp.,petersi,,VU,Black-faced Impala
550,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Aepyceros,Aepyceros melampus,"(Lichtenstein, 1812)",,,,LC,Impala
555,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Aeretes,Aeretes melanopterus,"(Milne-Edwards, 1867)",,,,NT,Northern Chinese Flying Squirrel
556,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Aeromys,Aeromys tephromelas,"(Günther, 1873)",,,,DD,Black Flying Squirrel
557,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Aeromys,Aeromys thomasi,"(Hose, 1900)",,,,LC,Thomas’s Flying Squirrel
561,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,Pinheyschna,Pinheyschna meruensis,"(Sjöstedt, 1909)",,,,LC,Meru Hawker
562,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,Aeshna,Aeshna persephone,"Donnelly, 1961",,,,LC,Persephone's Darner
563,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,Aeshna,Aeshna viridis,"Eversmann, 1836",,,,LC,Green Hawker
