taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,noteType,main_common_name
6786,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CAVIIDAE,Dolichotis,Dolichotis salinicola,"Burmeister, 1876",,,,LC,Conejo Del Palo
6790,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,PISAURIDAE,Dolomedes,Dolomedes plantarius,"(Clerck, 1757)",,,,VU,Great Raft Spider
6793,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Dorcatragus,Dorcatragus megalotis,"(Menges, 1894)",,,,VU,Beira
6794,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Dorcopsis,Dorcopsis atrata,"Van Deusen, 1957",,,,CR,Black Dorcopsis
6795,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Dorcopsis,Dorcopsis hageni,"Heller, 1897",,,,LC,White-striped Dorcopsis
6799,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Dorcopsis,Dorcopsis luctuosa,"(D'Albertis, 1874)",,,,VU,Grey Dorcopsis
6800,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Dorcopsis,Dorcopsis muelleri,"(Lesson, 1827)",,,,LC,Brown Dorcopsis
6801,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Dorcopsulus,Dorcopsulus macleayi,"(Miklouho-Maclay, 1885)",,,,LC,Macleay's Dorcopsis
6802,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Dorcopsulus,Dorcopsulus vanheurni,"(Thomas, 1922)",,,,NT,Small Dorcopsis
6808,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Doronomyrmex,Doronomyrmex goesswaldi,"(Kutter, 1967)",,,,VU,
6809,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Doronomyrmex,Doronomyrmex kutteri,"(Buschinger, 1966)",,,,VU,
6810,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Doronomyrmex,Doronomyrmex pacis,"Kutter, 1945",,,,VU,
6811,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Doronomyrmex,Doronomyrmex pocahontas,"Buschinger, 1979",,,,VU,
